shipping_id,shipping_status,shipping_address,city,state,postal_code,country,recipient_name,phone_number,delivery_date
1,in transit,47933 Columbus Point,Thị Trấn Phước Bửu,,,Vietnam,Hendrika Wearne,619-580-8082,8/20/2022
2,shipped,08 Muir Center,Yuyang,,,China,Ray Pyatt,623-736-2424,01-12-2022
3,shipped,181 Vernon Crossing,Yuanhou,,,China,Shalna Semeradova,275-217-5176,7/26/2022
4,shipped,5616 Morningstar Trail,Ugra,,215435,Russia,Wells Westney,538-182-7161,04-03-2022
5,shipped,4987 Coolidge Circle,Pajala,Norrbotten,984 28,Sweden,Gusti Bywaters,318-431-9303,07-12-2022
6,shipped,676 Sage Place,Can-Avid,,6806,Philippines,Lindsay Topliss,571-738-2489,03-07-2022
7,in transit,55735 Cherokee Street,Harrismith,,9885,South Africa,Evie Roelofs,566-741-5522,01-09-2022
8,out for delivery,237 Huxley Way,Lavaur,Midi-Pyrénées,81506 CEDEX,France,My Cubin,360-854-1242,12-05-2022
9,shipped,45288 Caliangt Parkway,Urus-Martan,,366510,Russia,Karlens Labes,137-147-4984,05-03-2022
10,out for delivery,7 Oriole Terrace,Gurlan,,,Uzbekistan,Tad Labbez,189-122-0315,11/13/2022
11,delivered,94 Randy Lane,Vohipaho,,,Madagascar,Patsy Livezley,884-190-1107,5/16/2022
12,shipped,380 Briar Crest Street,Flores da Cunha,,95270-000,Brazil,Fredrika Casaro,122-368-9294,12/18/2022
13,delivered,4865 Oak Valley Center,Azua,,10607,Dominican Republic,Duncan Ofener,194-749-2944,3/14/2022
14,shipped,6 Roxbury Lane,Resende,,27500-000,Brazil,Percy Aynold,572-989-2562,1/21/2022
15,out for delivery,59159 Dexter Drive,Haugesund,Rogaland,5532,Norway,Nadine Trevaskiss,886-928-6749,03-08-2022
16,shipped,766 Crowley Crossing,Qiling,,,China,Cosette Carver,854-134-8419,3/23/2022
17,shipped,7 Reinke Alley,Zhijiang,,,China,Barrie Loosely,453-608-3037,9/22/2022
18,shipped,97152 Doe Crossing Court,Itapipoca,,62500-000,Brazil,Trueman Geddis,359-924-3831,1/18/2022
19,out for delivery,456 Dayton Avenue,Heshui,,,China,Darrin Mallinson,375-363-3571,07-04-2022
20,out for delivery,0985 Nelson Way,Yaoundé,,,Cameroon,Raf Altree,581-980-1812,11/17/2022
21,in transit,290 Farmco Road,Yinkeng,,,China,Cassie Scutchings,175-906-1641,05-03-2022
22,shipped,1189 Raven Drive,Randu,,,Indonesia,Jesus Robinet,920-783-2581,8/29/2022
23,out for delivery,70 Monica Plaza,Kirkuk,,,Iraq,Jermaine Fitzroy,499-618-5097,08-10-2022
24,out for delivery,28108 Thompson Drive,Schenectady,New York,12305,United States,Kathe Trassler,518-193-6156,12/25/2022
25,delivered,1785 Corscot Pass,Zhongdong,,,China,Kimmy Bunch,773-189-4969,09-02-2022
26,shipped,4 Clyde Gallagher Parkway,Barra,,9016,Philippines,Bessie Vidloc,898-184-2586,02-08-2022
27,shipped,1 Hintze Terrace,Bau,,,Indonesia,Sherwood Pollen,921-520-0326,8/28/2022
28,in transit,2 6th Park,Būrkah,,,Afghanistan,Angel Simionato,986-738-6205,07-06-2022
29,delivered,05635 Londonderry Lane,Radvanice,,751 21,Czech Republic,Grannie Puckham,256-739-3695,04-12-2022
30,shipped,850 Shopko Pass,Jianchang,,,China,Rourke Beamiss,131-551-5333,7/17/2022
31,out for delivery,301 Golf Place,Were Īlu,,,Ethiopia,Pren Milborn,230-801-0810,12/28/2022
32,out for delivery,9344 Parkside Pass,Ngurore,,,Nigeria,Odetta McSparran,501-217-4797,05-05-2022
33,in transit,33682 Oak Plaza,Aného,,,Togo,Rorie Riatt,950-565-1653,6/25/2022
